Country,Happiness Rank,Happiness Score,Upperwhisker,Lowerwhisker,Economy (GDP per Capita),Social Support,Life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Bolivia,73,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2024
Ecuador,74,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,2024
Kyrgyzstan,75,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,2024
Montenegro,76,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,2024
Mongolia,77,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,2024
Colombia,78,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,2024
Venezuela,79,5.607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2024
Indonesia,80,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,2024
Bulgaria,81,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,2024
Armenia,82,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,2024
South Africa,83,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,2024
Algeria,85,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,2024
Hong Kong S.A.R. of China,86,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,2024
Albania,87,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,2024
Tajikistan,88,5.281,5.361,5.201,,,,,,,2024
Mozambique,90,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2024
Georgia,91,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0.0,0.174,2024
Iraq,92,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,2024
Nepal,93,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,2024
Laos,94,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,2024
Gabon,95,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,2024
Ivory Coast,96,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2024
Guinea,97,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2024
Senegal,99,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2024
Iran,100,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,2024
Nigeria,102,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,2024
Cameroon,104,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2024
Ukraine,105,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,2024
Namibia,106,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,2024
Morocco,107,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,2024
Pakistan,108,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,2024
Burkina Faso,110,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,2024
Kenya,114,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,2024
Tunisia,115,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,2024
Benin,116,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2024
Uganda,117,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,2024
Myanmar,118,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,2024
Cambodia,119,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,2024
Ghana,120,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,2024
Mali,122,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,2024
Togo,124,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,2024
Jordan,125,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,2024
India,126,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,2024
Egypt,127,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,2024
Sri Lanka,128,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,2024
Bangladesh,129,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,2024
Ethiopia,130,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,2024
Tanzania,131,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,2024
Zambia,134,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,2024
Malawi,136,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,2024
Zimbabwe,138,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,2024
Sierra Leone,140,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,2024
Lebanon,142,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,2024
Afghanistan,143,1.721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,2024
